Station_Name,Station_Code
O'Hare,40890
Rosemont,40820
Cumberland,40230
Harlem - O'Hare,40750
Jefferson Park,41280
Montrose,41330
Irving Park,40550
Addison,41240
Belmont,40060
Logan Square,41020
California,40570
Western - O'Hare,40670
Damen,40590
Division,40320
Chicago,41410
Grand,40490
Clark / Lake,40380
Washington,40370
Monroe,40790
Jackson,40070
LaSalle,41340
Clinton,40430
UIC-Halsted,40350
Racine,40470
Illinois Medical District,40810
Western - Forest Park,40220
Kedzie - Homan,40250
Pulaski,40920
Cicero,40970
Austin,40010
Oak Park,40180
Harlem - Forest Park,40980
Forest Park,40390
