Station_Name,Station_Code
Harlem / Lake,40020
Oak Park,41350
Ridgeland,40610
Austin,41260
Central,40280
Laramie,40700
Cicero,40480
Pulaski,40030
Conservatory,41670
Kedzie,41070
Ashland,40170
Morgan,41510
Clinton,41160
Clark / Lake,40380
State / Lake,40260
Washington / Wabash,41700
Adams / Wabash,40680
Roosevelt,41400
Cermak - McCormick Place,41690
35th - Bronzeville - IIT,41120
Indiana,40300
43rd,41270
47th,41080
51st,40130
Garfield,40510
King Drive,41140
Cottage Grove,40720
Halsted,40940
Ashland / 63rd,40170
